Run,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Fraction,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue,treatment
SRR35568623,RNA-Seq,300,6641559600,L,PRJNA1333313,SAMN51793719,2336394816,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX30641958,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254976,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:21:00Z,1,GSM9254976,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Naïve
SRR35568686,RNA-Seq,300,7056141000,L,PRJNA1333313,SAMN51793735,2490873283,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX30641926,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254960,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:26:00Z,1,GSM9254960,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Dependent
SRR35568626,RNA-Seq,300,7019469600,L,PRJNA1333313,SAMN51793721,2542028473,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX30641956,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254974,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:20:00Z,1,GSM9254974,male,Nucleus accumbens,SRP625487,Nucleus accumbens,Naïve
SRR35568627,RNA-Seq,300,7132121400,L,PRJNA1333313,SAMN51793721,2560550647,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX30641956,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254974,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:20:00Z,1,GSM9254974,male,Nucleus accumbens,SRP625487,Nucleus accumbens,Naïve
SRR35568631,RNA-Seq,300,7998479400,L,PRJNA1333313,SAMN51793723,2817459187,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX30641954,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254972,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:19:00Z,1,GSM9254972,male,Nucleus accumbens,SRP625487,Nucleus accumbens,Naïve
SRR35568638,RNA-Seq,300,6422935500,L,PRJNA1333313,SAMN51793727,2322499187,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX30641950,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254968,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:19:00Z,1,GSM9254968,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Dependent
SRR35568687,RNA-Seq,300,7195563300,L,PRJNA1333313,SAMN51793735,2519088332,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX30641926,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254960,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:22:00Z,1,GSM9254960,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Dependent
SRR35568622,RNA-Seq,300,6489525000,L,PRJNA1333313,SAMN51793719,2301230309,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX30641958,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254976,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:18:00Z,1,GSM9254976,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Naïve
SRR35568634,RNA-Seq,300,7475442300,L,PRJNA1333313,SAMN51793725,2640409839,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX30641952,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254970,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:20:00Z,1,GSM9254970,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Naïve
SRR35568639,RNA-Seq,300,6567543300,L,PRJNA1333313,SAMN51793727,2355003838,"GUIZZETTI LAB, BEHAVIORAL NEUROSCIENCE, OREGON HEALTH & SCIENCE UNIVERSITY; PORTLAND VA RESEARCH SERVICE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX30641950,IP,B6;FVB-Tg(Aldh1l1-EGFP/Rpl10a)JD130Htz/J,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM9254968,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-11-06T00:00:00Z,2025-09-23T10:21:00Z,1,GSM9254968,female,Nucleus accumbens,SRP625487,Nucleus accumbens,Dependent
